654,1192,1097,4354,2315,1433,2
640,1172,1059,4367,2263,1368,2
940,1546,1587,3690,2479,1657,2
954,1573,1651,3559,2494,1729,2
986,1619,1719,3578,2547,1820,2
916,1572,1625,3721,2496,1706,2
864,1478,1471,3916,2526,1678,2
856,1466,1475,3843,2515,1699,2
724,1163,1204,3479,2288,1470,3
585,1029,937,2864,1570,919,3
744,1209,1215,3576,2228,1493,3
566,1018,916,2798,1556,924,3
659,1123,1201,3875,2750,1743,3
692,1052,1034,4105,2536,1463,3
682,1024,1059,3910,2758,1605,3
883,1365,1537,3635,3435,2325,3
480,902,813,4113,1903,1033,3
486,913,796,4122,1934,1058,3
447,860,740,4157,1888,1003,3
491,881,741,4240,1930,1019,3
985,1502,1725,3548,2874,2128,4
735,1182,1290,3586,2426,1598,4
801,1257,1389,3676,2589,1707,4
720,1130,1233,3627,2473,1566,4
621,1069,1064,3756,2378,1432,4
762,1248,1323,3718,2544,1625,4
616,1010,1029,3722,2344,1376,4
738,1196,1236,3759,2529,1576,4
0,0,0,0,0,0,5
0,0,0,0,0,0,5
0,0,0,0,0,0,5
0,0,0,0,0,0,5
0,0,0,0,0,0,5
0,0,0,0,0,0,5
0,0,0,0,0,0,5
311,423,310,320,60,51,6
316,428,315,346,59,48,6
305,408,291,270,61,48,6
298,391,273,226,60,47,6
302,399,289,270,62,47,6
299,402,291,271,59,46,6
305,406,294,273,60,48,6
311,418,310,310,61,47,6
310,430,321,344,61,48,6
314,434,325,363,62,50,6
302,405,292,305,63,48,6
300,399,289,278,62,47,6
299,391,273,223,61,50,6
299,389,271,216,58,48,6
295,392,279,251,60,47,6
304,415,304,327,63,47,6
300,413,309,320,61,46,6
310,415,306,321,62,47,6
316,430,319,329,62,47,6
318,442,334,373,62,48,6
322,448,337,400,63,50,6
332,465,355,468,67,50,6
295,391,271,222,59,50,6
298,393,274,232,59,47,6
294,393,275,217,59,51,6
300,395,274,207,60,51,6
302,404,289,259,59,47,6
299,403,284,262,57,48,6
301,399,285,257,60,50,6
300,398,279,251,59,47,6
300,397,282,260,60,44,6
308,424,305,317,61,47,6
310,428,323,360,64,50,6
317,440,322,348,61,50,6
322,437,331,372,64,51,6
329,477,364,479,66,53,6
325,473,358,481,66,53,6
333,479,362,490,67,50,6
292,389,262,202,57,46,6
294,397,277,234,59,47,6
292,397,277,270,58,47,6
293,393,272,256,59,50,6
291,384,263,238,56,47,6
302,406,290,303,62,46,6
302,403,285,284,59,47,6
304,413,297,313,58,48,6
301,399,289,284,58,48,6
298,408,285,260,59,47,6
308,416,302,300,60,47,6
318,435,321,331,62,47,6
316,439,326,351,62,52,6
323,435,323,339,62,47,6
329,468,360,461,64,51,6
337,484,376,515,67,54,6
339,489,375,497,68,53,6
343,484,364,455,65,50,6
292,401,281,288,62,47,6
295,401,280,258,57,47,6
300,421,301,334,64,48,6
298,403,291,327,58,50,6
298,395,283,303,62,48,6
298,389,278,270,59,47,6
305,409,300,350,63,50,6
304,404,295,315,61,47,6
307,419,305,335,63,48,6
305,410,295,311,62,46,6
306,419,302,312,59,48,6
313,432,313,323,60,52,6
320,445,332,357,61,52,6
320,439,323,328,61,52,6
325,451,340,397,64,50,6
331,474,367,464,64,51,6
337,483,370,474,63,51,6
342,497,382,473,67,54,6
355,503,375,416,65,52,6
291,396,277,263,62,48,6
300,412,299,340,61,50,6
302,424,313,370,64,50,6
300,404,295,316,59,51,6
300,406,292,323,60,47,6
301,406,295,326,62,50,6
302,408,298,328,60,46,6
301,409,297,318,61,46,6
305,416,302,321,64,47,6
312,418,305,335,65,50,6
316,421,311,337,62,47,6
319,432,320,342,59,47,6
320,441,333,369,61,48,6
327,447,333,339,63,48,6
332,460,347,377,62,51,6
337,477,367,466,67,52,6
343,490,376,506,68,52,6
349,498,376,445,66,52,6
368,520,387,397,66,52,6
295,402,288,285,61,48,6
293,398,285,298,59,47,6
300,408,300,364,63,47,6
310,423,327,456,68,52,6
305,412,305,359,66,50,6
306,419,305,363,64,47,6
306,424,306,360,61,48,6
311,424,309,358,62,51,6
307,427,306,349,61,48,6
310,419,310,326,62,50,6
311,432,319,354,65,50,6
317,438,324,342,61,51,6
323,447,331,379,62,48,6
325,448,332,393,63,52,6
331,458,340,375,65,50,6
337,474,355,376,65,51,6
338,484,365,418,65,53,6
350,498,373,390,68,51,6
358,504,382,390,65,53,6
401,547,412,366,62,47,6
294,404,294,330,62,48,6
298,404,295,328,62,47,6
302,413,305,368,61,47,6
310,424,317,410,69,52,6
307,426,320,396,67,48,6
312,442,329,402,64,51,6
307,425,315,380,63,46,6
314,435,324,414,65,51,6
313,439,325,420,64,48,6
311,432,323,358,63,50,6
326,451,334,413,67,52,6
323,447,331,365,65,52,6
331,466,354,435,67,52,6
331,462,344,403,64,51,6
338,472,349,332,65,52,6
347,480,365,382,65,51,6
350,493,364,387,63,50,6
365,525,395,399,64,53,6
390,554,421,396,62,50,6
483,721,578,327,69,57,6
312,427,326,418,63,51,6
305,418,304,401,62,51,6
304,425,313,392,65,51,6
308,416,310,361,61,47,6
304,425,313,387,66,52,6
313,435,323,410,63,50,6
318,442,334,417,64,50,6
311,438,330,407,63,47,6
314,439,325,388,61,52,6
317,440,323,357,65,48,6
326,450,332,366,64,50,6
327,458,345,423,65,51,6
333,468,347,401,68,52,6
342,468,345,350,64,52,6
345,487,366,405,67,48,6
351,491,367,374,65,51,6
364,513,395,428,68,48,6
370,540,407,367,67,48,6
439,633,491,338,67,50,6
572,786,632,329,74,58,6
749,1061,928,368,95,80,6
307,433,327,416,63,52,6
310,425,310,371,61,48,6
308,431,319,377,65,51,6
312,431,326,419,61,52,6
308,439,329,444,63,48,6
314,431,320,391,61,50,6
319,453,335,419,67,48,6
319,445,330,385,63,51,6
317,442,320,337,65,48,6
322,442,322,354,64,51,6
325,452,333,360,64,48,6
336,462,348,388,64,53,6
344,479,357,379,64,51,6
355,496,370,391,64,48,6
369,516,394,410,65,51,6
381,542,407,386,66,48,6
441,641,509,367,71,53,6
